id,sentiment
1,-1
2,1
3,0.5
4,-0.5
5,-0.7
6,-0.6
7,0.4
8,0.3
9,0.8
10,-0.4
11,-1
12,0
13,0.1
14,-0.3
15,0
16,0.1
17,0.8
18,-0.7
19,0.6
20,-1
21,1
22,0.5
23,-0.5
24,-0.7
25,-0.6
26,0.4
27,0.3
28,0.8
29,-0.4
30,-1
31,0
32,0.1
33,-0.3
34,0
35,0.1
36,0.8
37,-0.7
38,0.6
39,-1
40,1
41,0.5
42,-0.5
43,-0.7
44,-0.6
45,0.4
46,0.3
47,0.8
48,-0.4
49,-1
50,0
51,0.1
52,-0.3
53,0
54,0.1
55,0.8
56,-0.7
57,0.6
58,-1
59,1
60,0.5
61,-0.5
62,-0.7
63,-0.6
64,0.4
65,0.3
66,0.8
67,-0.4
68,-1
69,0
70,0.1
71,-0.3
72,0
73,0.1
74,0.8
75,-0.7
76,0.6
77,-1
78,1
79,0.5
80,-0.5
81,-0.7
82,-0.6
83,0.4
84,0.3
85,0.8
86,-0.4
87,-1
88,0
89,0.1
90,-0.3
91,0
92,0.1
93,0.8
94,-0.7
95,0.6
96,-1
97,1
98,0.5
99,-0.5
100,-0.7
101,-0.6
102,0.4
103,0.3
104,0.8
105,-0.4
106,-1
107,0
108,0.1
109,-0.3
110,0
111,0.1
112,0.8
113,-0.7
114,0.6
115,-1
116,1
117,0.5
118,-0.5
119,-0.7
120,-0.6
121,0.4
122,0.3
123,0.8
124,-0.4
125,-1
126,0
127,0.1
128,-0.3
129,0
130,0.1
131,0.8
132,-0.7
133,0.6
134,-1
135,1
136,0.5
137,-0.5
138,-0.7
139,-0.6
140,0.4
141,0.3
142,0.8
143,-0.4
144,-1
145,0
146,0.1
147,-0.3
148,0
149,0.1
150,0.8
151,-0.7
152,0.6
153,-1
154,1
155,0.5
156,-0.5
157,-0.7
158,-0.6
159,0.4
160,0.3
161,0.8
162,-0.4
163,-1
164,0
165,0.1
166,-0.3
167,0
168,0.1
169,0.8
170,-0.7
171,0.6
172,-1
173,1
174,0.5
175,-0.5
176,-0.7
177,-0.6
178,0.4
179,0.3
180,0.8
181,-0.4
182,-1
183,0
184,0.1
185,-0.3
186,0
187,0.1
188,0.8
189,-0.7
190,0.6
191,-1
192,1
