TOPIC,TOPIC,Popularity,Overall sentiment,Positive ratio,Average sentiment
Muslims,Muslims,25,0,0.0,-0.263384
Lee Dixon,Lee Dixon,3,0,0,-0.15613333333333332
Death Note,Death Note,7,0,0.0,-0.3805428571428572
Kay Burley,Kay Burley,1,0,0,0.0
Television,Television,4,0,0.0,-0.206025
Events,Events,2,0,0,0.20015
French Election,French Election,3,0,0,0.23343333333333335
Brussels,Brussels,7,0,0,-0.18345714285714285
#Westminster,#Westminster,468,0,0.46153846153846156,-0.09508995726495727
Tommy Robinson,Tommy Robinson,23,0,0.0,-0.29857826086956524
Russia,Russia,2,0,0,0.36755
Technology,Technology,14,0,0,0.43631428571428577
British Politics,British Politics,295,0,0.75,0.07457728813559321
#wmmayor,#wmmayor,5,0,0,-0.19118
House of Commons,House of Commons,3,0,0,-0.5359666666666666
Sports,Sports,4,0,0,-0.0683
#GERENG,#GERENG,153,0,1.0,0.0766633986928105
#PrayForTheWorld,#PrayForTheWorld,12,0,0,-0.12995
#WeAreNotAfraid,#WeAreNotAfraid,14,0,0.0,-0.01460000000000001
Abu Izzadeen,Abu Izzadeen,44,0,0.0,-0.5241545454545454
Trump,Trump,43,0,0.5,-0.0851348837209302
Tobias Ellwood,Tobias Ellwood,14,0,1.0,0.19432857142857143
Celebrities,Celebrities,1,0,0,0.636
NHS,NHS,1,0,0,0.0
